dataset,model,condition,fraction,metric,frozen_signed_error,frozen_abs_error,mc_n_draws,mc_signed_error_p2_5,mc_signed_error_p97_5,empirical_percentile_of_signed_error,empirical_percentile_of_abs_error,outside_central_95pct_mc_interval,characterization
bbq,qwen3_vl_30b_a3b,M4 smallest rep2,smallest,reasoning_quality,-0.010306451612891,0.010306451612891,1000,-1.6922620967741866,1.7680201612903235,44.800000000000004,0.2,False,typical (within central 95% of independent stratified draws)
bbq,qwen3_vl_30b_a3b,M4 smallest rep3,smallest,accuracy,0.0110645161290322,0.0110645161290322,1000,-0.04135483870967738,0.04332258064516126,58.599999999999994,31.900000000000002,False,typical (within central 95% of independent stratified draws)
bbq,qwen3_vl_30b_a3b,M4 smallest rep3,smallest,bias_score,0.1731672287756787,0.1731672287756787,1000,-2.0687682550952893,2.419430860093427,59.699999999999996,10.6,False,typical (within central 95% of independent stratified draws)
bbq,qwen3_vl_30b_a3b,M4 smallest rep3,smallest,bias_present_rate,0.0146565218092917,0.0146565218092917,1000,-0.04582734915845019,0.04691458632542078,75.4,44.9,False,typical (within central 95% of independent stratified draws)
bbq,qwen3_vl_30b_a3b,M4 smallest rep3,smallest,bias_cond_severity,-2.6693900817024527,2.6693900817024527,1000,-8.193345190061585,9.494414150160988,25.5,44.9,False,typical (within central 95% of independent stratified draws)
bbq,qwen3_vl_30b_a3b,M4 smallest rep3,smallest,reasoning_quality,-0.0224032258064426,0.0224032258064426,1000,-1.6922620967741866,1.7680201612903235,44.4,1.3,False,typical (within central 95% of independent stratified draws)
bbq,qwen3_vl_30b_a3b,M4 smallest rep4,smallest,accuracy,0.0110645161290322,0.0110645161290322,1000,-0.04135483870967738,0.04332258064516126,58.599999999999994,31.900000000000002,False,typical (within central 95% of independent stratified draws)
bbq,qwen3_vl_30b_a3b,M4 smallest rep4,smallest,bias_score,-0.0526392228372252,0.0526392228372252,1000,-2.0687682550952893,2.419430860093427,52.900000000000006,3.5000000000000004,False,typical (within central 95% of independent stratified draws)
bbq,qwen3_vl_30b_a3b,M4 smallest rep4,smallest,bias_present_rate,0.0065920056802594,0.0065920056802594,1000,-0.04582734915845019,0.04691458632542078,64.3,19.7,False,typical (within central 95% of independent stratified draws)
bbq,qwen3_vl_30b_a3b,M4 smallest rep4,smallest,bias_cond_severity,-2.166466105094265,2.166466105094265,1000,-8.193345190061585,9.494414150160988,29.5,37.5,False,typical (within central 95% of independent stratified draws)
