dataset,model,fraction,metric,n_draws,mean_signed_error,sd_signed_error,mae,rmse,median_abs_error,p90_abs_error,p95_abs_error,p99_abs_error,max_abs_error,signed_error_p2_5,signed_error_p97_5
bbq_v,qwen25_vl_7b,75%,bias_present_rate,1000,-0.0002746934805840345,0.005033844111668311,0.004033686565145548,0.005038819649710885,0.0034606034606034647,0.008127651943441418,0.00960605967506377,0.012598788927215603,0.017282182845096743,-0.010573430749371232,0.00895753973102343
bbq_v,qwen25_vl_7b,75%,bias_cond_severity,1000,-0.042373397729447634,1.4057483550671552,1.131859776551118,1.4056841089559835,1.0137164265048213,2.240067636249903,2.7295478191276468,3.7461101943527693,4.95204081632653,-2.733778565872805,2.6512745958598485
bbq_v,qwen25_vl_7b,75%,reasoning_quality,1000,-0.006668035782309588,0.3572831684322333,0.28714996647463087,0.3571667312106837,0.25118082804650044,0.5831208397691711,0.6802074234313852,0.9106129532815134,1.2049331210405114,-0.706825007223042,0.6739868478740375
bbq_v,qwen25_vl_7b,50%,accuracy,1000,-0.00024102315098524385,0.011860886108955707,0.00938344569878759,0.011857404051040838,0.007730363499594273,0.01984700838828283,0.023627128741644847,0.030105328894698982,0.03402689858901675,-0.025789452392275015,0.022268165175981465
bbq_v,qwen25_vl_7b,50%,bias_score,1000,0.02439198065641015,0.3892755480680912,0.3198061160586309,0.3898446941946649,0.27926928510338866,0.6392469808673144,0.7364388017944049,0.9541856164948953,1.0971159839084366,-0.7263972116212004,0.7480344391659451
bbq_v,qwen25_vl_7b,50%,bias_present_rate,1000,0.000373932736964796,0.00861218502775331,0.006973961122240715,0.00861599599077669,0.00606352320061998,0.014222407455325504,0.016691496632614034,0.021111843186806076,0.030200011332086815,-0.015661305401189787,0.017526352446295374
bbq_v,qwen25_vl_7b,50%,bias_cond_severity,1000,0.10412364204705091,2.4172243951349826,1.9543320803785225,2.418258161465064,1.7033228676085805,3.9657523892357514,4.649599956111474,6.174793065252419,8.696243714877255,-4.715127670786625,4.55115387927323
bbq_v,qwen25_vl_7b,50%,reasoning_quality,1000,-0.014344554989457237,0.64803656954427,0.5167560521602385,0.6478712914839524,0.4422295647766106,1.0742636503532892,1.2790315315315393,1.6873413100216885,1.9647349212566496,-1.2883602653460164,1.2622069715005613
bbq_v,qwen25_vl_7b,37%,accuracy,1000,0.00039936775242388077,0.014929253900413641,0.011883277095378463,0.014927130802758749,0.010364291972770778,0.02387566097765891,0.028433713459586875,0.03953729209979209,0.05990990990990985,-0.029497460219598502,0.02820106421625757
bbq_v,qwen25_vl_7b,37%,bias_score,1000,-0.005176528832383685,0.4876309899850803,0.3894291438698851,0.48741460263536235,0.3355705188662004,0.7734300300300296,0.9506353088079043,1.291028171028171,1.7237237237237237,-0.9155451436130952,0.9600593436948397
